,Post_By,Post_Link,Post_Date,is_verified,Post_Type,Video_views,Post_likes
0,that_guy_pret,/B3nlGGaAu3qfL7eLnk0fWUkrVJnzR_YG0zpJ1Q0/,"OCTOBER 14, 2019",False,Photo,,
1,that_guy_pret,/ByWNWaegcX-x-btsE2o7L8VT_MLBZypgxSz_FQ0/,"JUNE 5, 2019",False,Photo,,
2,that_guy_pret,/BsRHtaNnuN-HpPTP680MbbXqhRS8guZPgY8tRY0/,"JANUARY 5, 2019",False,Photo,,
3,that_guy_pret,/Br4RDqEnRvEA7JNsGu3kWqGNRZ9LiWflkhJ0Fs0/,"DECEMBER 26, 2018",False,Photo,,
4,that_guy_pret,/Bql2kJdnUDj6n0dPkKrfPvBmqGsrDpzAPaqCq40/,"NOVEMBER 24, 2018",False,Photo,,
5,that_guy_pret,/BkGQga3nsnN5wN3QKZhkzzm7iGWZUbv6U8Juzs0/,"JUNE 16, 2018",False,Photo,,
6,that_guy_pret,/BiXoxHKnqGmm1qHPZdLzhF5iFcNlp9gd4L3twY0/,"MAY 4, 2018",False,Photo,,
7,that_guy_pret,/BazT-ZpD51ujqf7XMr7LUYQhei6_L0mvaqIFU00/,"OCTOBER 28, 2017",False,Photo,,
